,Density,PoreAvgVolume,henry_coeff
17240N3.cif,0.434195,5929.25,4.18281e-06
20500N3.cif,0.515475,8352.75,1.66911e-05
16210N2.cif,0.71939,2890.07,5.34768e-05
20430N3.cif,0.108753,45958.5,8.22122e-06
15200N3.cif,0.573041,2262.84,6.18513e-05
19022N3.cif,0.367537,11081.0,1.76862e-05
12061N2.cif,0.819318,7589.0,2.44853e-06
20116N3.cif,0.118021,49327.5,1.12128e-05
16130N3.cif,0.14459,30428.5,5.64293e-06
15080N2.cif,0.643085,2916.7,0.00133211
20211N2.cif,0.412557,3956.95,4.02393e-06
20172N2.cif,0.775313,3401.63,1.47359e-05
22222N2.cif,0.205805,28120.2,4.05853e-06
08000N3.cif,0.519987,17479.6,6.99247e-06
20130N2.cif,0.565603,5877.47,1.96796e-06
14040N2.cif,0.4341,8003.79,0.00992394
16510N2.cif,0.781202,1880.78,4.16189e-06
22550N2.cif,0.595499,3497.4,0.000469377
20203N2.cif,0.467079,11577.6,8.47664e-05
21511N3.cif,0.622518,3831.67,2.17405e-05
20590N2.cif,0.504711,6972.55,1.90065e-05
16111N3.cif,0.19318,58695.8,5.58449e-06
14050N3.cif,0.393492,3054.35,7.85801e-06
22221N2.cif,0.215565,28825.7,3.76871e-06
21750N2.cif,1.36695,202.323,0.000667152
15163N2.cif,0.531445,2615.31,2.91235e-06
22300N2.cif,0.406754,17928.7,7.05245e-06
19191N2.cif,0.862786,3838.97,9.64552e-06
16390N2.cif,0.647484,2729.92,3.55792e-06
16191N2.cif,0.699817,4808.93,1.1778e-05
16002N2.cif,0.417357,8739.58,5.13994e-06
18141N2.cif,0.49422,3095.15,3.2887e-06
20580N3.cif,0.54026,11336.1,0.000230354
19462N2.cif,0.650611,2078.06,0.00655579
22360N2.cif,0.748085,2863.21,3.41298e-06
20600N2.cif,0.589136,4613.91,2.58369e-05
15220N2.cif,0.733937,1038.88,3.21627e-06
14010N2.cif,0.703963,2722.98,2.59997e-06
20581N2.cif,0.570166,11068.3,0.000132642
21601N2.cif,0.352148,9615.5,4.65164e-06
13161N2.cif,0.421138,12646.2,1.33485e-05
20652N2.cif,0.888982,1847.54,7.6962e-06
19181N2.cif,0.471181,4154.25,3.55764e-06
19530N2.cif,0.37617,6576.6,3.50205e-06
20300N2.cif,0.501763,3176.1,3.93836e-06
19180N2.cif,0.398703,6604.51,3.32755e-06
20402N2.cif,0.58915,3488.11,9.78575e-06
15181N2.cif,0.534441,7747.94,3.06951e-05
20672N2.cif,0.623778,3962.86,2.77351e-06
19144N2.cif,1.00342,1636.09,0.00289375
15162N2.cif,0.853919,851.017,0.00670815
19420N3.cif,0.229766,30278.5,6.64912e-06
22182N2.cif,0.649492,1639.6,5.34692e-05
23001N2.cif,0.899469,2902.25,1.03494e-05
22108N2.cif,0.606741,5052.79,7.39914e-06
21091N3.cif,1.06275,266.394,9.00852e-06
20280N2.cif,0.620781,3954.64,2.61389e-06
19413N2.cif,0.410151,7045.7,3.36896e-06
19214N2.cif,0.458002,6919.01,5.19775e-06
16112N3.cif,0.189809,16818.0,6.14921e-06
22101N2.cif,0.89037,806.776,0.00342248
21380N2.cif,0.589446,2378.11,8.20714e-06
15182N2.cif,0.509548,6510.74,6.35978e-06
22041N2.cif,0.874763,2610.36,1.51043e-06
16460N2.cif,0.439813,11543.8,3.24292e-06
13040N3.cif,1.01261,1021.98,4.85776e-06
