,cof,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,Density,PoreAvgVolume,henry_coeff,henry_coeff_198,henry_coeff_298,henry_coeff_77
467,22360N2.cif,14.079142691936,20.06419127407,26.41252192789,28.822982162996,30.099179207399,31.008978470558,0.2323377361108,1.1018501502706,4.5291427248645,7.5240641800406,9.7641989600336,11.501883308767,0.073786764767533,0.35031202499442,1.6277529379311,3.0826081489887,4.3951430616608,5.5335001497592,0.748085,2873.88,,2.35457e-06,7.20596e-07,0.000833944
468,20600N2.cif,6.9637919555583,14.198712926836,23.552511723545,29.016068058397,32.188055697857,34.610904253578,0.16542654371424,0.80355628235024,3.5554309691397,6.3139609967616,8.8673499304907,10.831371459412,0.069554836555583,0.33572497089624,1.6512205097989,3.0495380679666,4.4498565782366,5.5942272097666,0.589136,4625.21,,1.68474e-06,6.89174e-07,0.000225086
469,15220N2.cif,10.675214317558,17.481515288501,24.04817108947,26.438903025667,27.741642081544,28.596852147904,0.16735579230142,0.80964919129982,3.4317493031503,5.9174660402285,7.825364239568,9.3919741464103,0.055735389031987,0.27490230929505,1.3010795763254,2.429049591085,3.4847438304641,4.4568927960338,0.733937,1049.83,,1.67341e-06,5.60617e-07,0.000387803
470,14010N2.cif,10.465419775601,17.381805815368,24.111370328378,26.829569003654,28.372314664135,29.294326638728,0.17161043225132,0.82807076537888,3.5131053697588,6.0998431323022,8.1009313443185,9.7344355390407,0.059521998847285,0.2932767748634,1.3665778767269,2.5927743854683,3.6915667714082,4.7126376367755,0.703963,2737.77,,1.71894e-06,5.94024e-07,0.000255757
471,20581N2.cif,8.9231512304665,16.084568633686,26.085091629285,31.474096745819,34.52012067497,36.651798202931,0.17977173208177,0.83767612236762,3.8154692002923,6.8604332327202,9.257296919525,11.382548823612,0.070681862376326,0.3534225606171,1.6272064363095,3.1847644095427,4.5740505300792,5.8967751367199,0.570166,11117.8,,1.7803e-06,7.02787e-07,0.00020643
472,21601N2.cif,7.4720778074403,18.145895222849,34.142115132455,44.783297437902,52.508127050537,58.247447719136,0.2474571147138,1.1731609884247,5.4363157481056,10.225316876553,14.289224072022,18.00835712179,0.11707149031956,0.57823593809813,2.6908484176807,5.3789101561787,7.8536670819314,10.177633698768,0.352148,9634.28,,2.39978e-06,1.15725e-06,0.000109956
473,13161N2.cif,16.58470559594,27.409872433635,42.490355904804,51.085247348791,56.169698816467,59.73319496848,0.38921796830356,1.7723596063072,7.1629669226122,12.244643072715,16.418116868293,19.875047792812,0.12054632522702,0.60236003549766,2.8173769886552,5.4090707261028,7.8569240502388,10.094306114887,0.421138,12839.6,,3.89047e-06,1.23154e-06,0.00570012
474,20652N2.cif,10.369249659691,15.420771091814,18.772303847544,19.846517563915,20.551749582672,20.941502249981,0.1635938853264,0.7616772189504,3.1441560421248,5.1024859041312,6.5235514158,7.6260147309072,0.045717732273601,0.2298216002688,1.0576275390576,2.0179429050528,2.8149433718688,3.5221282937856,0.888982,1862.63,,1.65633e-06,4.73347e-07,0.000694044
475,19181N2.cif,8.2187069803025,17.461981988927,30.32763277848,37.602269607998,42.168658123251,45.381769374164,0.18997671348085,0.96313241565078,4.2485022820276,7.9269882989219,10.989266508259,13.686390383313,0.08335434644377,0.41967126347107,2.0561695730471,3.8163142301806,5.6453155774968,7.3142685413365,0.471181,4175.8,,1.94339e-06,8.48665e-07,0.000171813
476,19530N2.cif,8.6831398069368,19.148210540454,33.915609574582,43.281569949509,49.647227446611,54.322327148255,0.2325428317456,1.1396862235966,5.1836561024832,9.5807408418089,13.349233239072,16.793452281822,0.10584749283092,0.52656893985591,2.5255080745855,4.8464451703423,7.1155128250427,9.201012216712,0.37617,6592.17,,2.3404e-06,1.06413e-06,0.000155188
