,cof,o2_298K_1bar,o2_298K_5bar,o2_298K_10bar,o2_298K_20bar,o2_298K_30bar,o2_298K_50bar,o2_298K_80bar,o2_298K_100bar,o2_298K_140bar,o2_298K_200bar,Density,PoreAvgVolume,henry_coeff
114,13012N2.cif,0.22423784118846,1.0823093723142,2.0868164303881,3.8976926594761,5.5112697255201,8.306210891747,11.626932506446,13.370170619116,16.440767673417,20.03207018511,0.470374,8624.59,2.27092e-06
115,20070N2.cif,0.4446080453095,2.1691327847798,4.0223752937843,7.2941903051819,10.038629178294,14.265999438512,19.169192996956,21.613583781436,25.790053681537,30.261804345396,0.38141,2993.28,4.53494e-06
116,20521N3.cif,0.39084343217718,1.6617810823638,2.9640092317735,4.953845526019,6.5698305797184,8.9554836304863,11.319148140616,12.372387725947,14.041375523743,15.698114207777,0.648408,3923.04,3.92081e-06
117,19280N2.cif,0.33080854278802,1.4669242623259,2.683121607512,4.633758633316,6.2185889101024,8.6646596141368,11.251865230572,12.541736897057,14.796662807168,17.068700672094,0.564953,8964.12,3.40064e-06
118,16311N2.cif,0.48792844542312,1.8798740558194,3.1154263924831,4.6462198233194,5.64925700871,6.8617406743331,7.9226911188906,8.3376714053763,8.946665373275,9.5257127008619,0.879131,1881.15,5.22644e-06
119,16051N2.cif,0.26926419624246,1.2480995379411,2.322258151218,4.2292424694174,5.8688862686552,8.4060267656149,11.172780926441,12.541300131014,14.696843803142,17.092163723721,0.614475,6744.49,2.6636e-06
120,15031N2.cif,0.2821223336958,1.3404443772434,2.6216721277858,4.7250301005642,6.7033896111081,9.9404787059588,13.584714546182,15.589750083127,18.721043302842,22.208259069372,0.463394,4742.25,2.84231e-06
121,20250N2.cif,0.3000181207361,1.4604346470907,2.7878849090323,5.3761530751871,7.6621820420149,11.705687962635,16.89095766222,19.534752793148,24.614100764202,30.479581173231,0.320416,9122.08,3.0465e-06
122,21560N3.cif,0.21138516431482,1.0369681225426,1.8627081043737,3.3384943670016,4.4519800876319,6.0299573062407,7.4741818261428,8.1010043171602,9.0371004819243,9.9895271006396,0.789078,3645.22,2.18046e-06
123,21110N3.cif,0.45197176093666,2.0285039292558,3.9557253346212,7.1926661385787,9.9730996949213,14.610484649322,19.927666970729,22.733090758316,27.411385201917,32.719076041238,0.34437,15826.8,4.58219e-06
